question,answer
Why can’t I log in?,Check your email and password. Use 'Forgot Password' if needed. Ensure your account is verified. Email support@shop.com if issues persist.
What if I’m unable to sign in?,Verify your email and password. Try resetting via 'Forgot Password.' Confirm your account is active. Contact support@shop.com for further help.
How do I add a shipping address?,"In 'Account Settings,' go to 'Addresses,' click 'Add New,' and enter your details. Save to update. Email support@shop.com for issues."
Can I save a new delivery address?,"Go to 'Account Settings,' select 'Addresses,' and add a new address. Save it for future orders. Contact support@shop.com if you need help."
How do I verify my account?,"Check your email for a verification link after signing up. Click it to activate. If missing, check spam or email support@shop.com for a resend."
Why isn’t my account verified?,"Look for the verification email sent during signup. Click the link to activate. If not found, check spam or contact support@shop.com."
What payment methods do you accept?,"We accept credit/debit cards (Visa, MasterCard, Amex), PayPal, and Apple Pay. Select your method at checkout. Email support@shop.com for issues."
How can I pay for my order?,"Use Visa, MasterCard, Amex, PayPal, or Apple Pay at checkout. Choose your preferred method. Contact support@shop.com for payment problems."
Why was my payment declined?,"Declines may occur due to insufficient funds, incorrect details, or bank restrictions. Verify your info and try again. Email support@shop.com for help."
What if my card was rejected?,"Check your card details, balance, or bank restrictions. Re-enter info or use another method. Contact support@shop.com for assistance."
Can I use a gift card?,"Yes, enter your gift card code at checkout to apply the balance. If it doesn’t work, email support@shop.com with the code."
How do I apply a gift card?,"At checkout, input your gift card code in the designated field. The balance will apply. Contact support@shop.com if it fails."
Is my payment secure?,All payments are encrypted with SSL technology for security. We don’t store card details. Email support@shop.com with concerns.
Are transactions safe on your site?,We use SSL encryption to protect all transactions. Your payment info is secure. Contact support@shop.com for security questions.
Can I pay in installments?,Installment plans are available via PayPal Credit for eligible orders. Select it at checkout. Email support@shop.com for details.
Do you offer payment plans?,PayPal Credit offers installment payments for qualifying orders. Choose it at checkout. Contact support@shop.com for more info.
